ID,Tipo,REF,Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status da taxa","Classe de taxa","Em estoque?",Estoque,"Quantidade baixa de estoque","São permitidas encomendas?","Vendido individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Nota da compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de download","Dias para expirar o download","Produto ascendente","Grupo de produtos","Aumentar vendas","Venda cruzada","URL externa","Texto do botão",Posição,"Swatches Attributes","Nome do atributo 1","Valores do atributo 1","Visibilidade do atributo 1","Atributo global 1","Atributo padrão 1","Nome do atributo 2","Valores do atributo 2","Visibilidade do atributo 2","Atributo global 2","Atributo padrão 2","Metadado: _et_pb_use_builder","Metadado: _et_pb_old_content"
48,variable,1187203,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Máscaras,,Nacional,https://useyoulabel.com/wp-content/uploads/2020/09/8branca.jpg,,,,,,,,,0,"{""Cor"":{""name"":""Cor"",""type"":""image"",""terms"":{""Amarelo"":{""name"":""Amarelo"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Amarelo.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""104""},""Azul Bondi"":{""name"":""Azul Bondi"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/azul-bondi.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""105""},""Azul Claro"":{""name"":""Azul Claro"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/azul-claro.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""106""},""Azul Marinho"":{""name"":""Azul Marinho"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Azul-Marinho.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""107""},""Azul Oxford"":{""name"":""Azul Oxford"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/azul-oxford.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""108""},""Azul Royal"":{""name"":""Azul Royal"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/azul-royal.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""109""},""Bege"":{""name"":""Bege"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Bege.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""110""},""Bord\u00f4"":{""name"":""Bord\u00f4"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Bordo.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""111""},""Branco"":{""name"":""Branco"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Branco.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""102""},""Branco\/Pink"":{""name"":""Branco\/Pink"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/branco-pink.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""112""},""Chumbo"":{""name"":""Chumbo"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Chumbo.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""113""},""Cinza"":{""name"":""Cinza"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Cinza.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""114""},""Laranja"":{""name"":""Laranja"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Laranja.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""115""},""Lil\u00e1s"":{""name"":""Lil\u00e1s"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Lilas.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""116""},""Marrom"":{""name"":""Marrom"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/marrom.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""117""},""Preto"":{""name"":""Preto"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Preto.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""103""},""Rosa Beb\u00ea"":{""name"":""Rosa Beb\u00ea"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Rosa-Bebe.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""118""},""Rosa Claro"":{""name"":""Rosa Claro"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Rosa-Claro.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""119""},""Rosa Pink"":{""name"":""Rosa Pink"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Rosa-Pink.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""120""},""Rosa Salm\u00e3o"":{""name"":""Rosa Salm\u00e3o"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Rosa-Salmao.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""121""},""Roxo"":{""name"":""Roxo"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Roxo2.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""122""},""Verde \u00c1gua"":{""name"":""Verde \u00c1gua"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Verde-Agua.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""123""},""Verde Bandeira"":{""name"":""Verde Bandeira"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Verde-Bandeira.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""124""},""Verde Claro"":{""name"":""Verde Claro"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Verde-Claro.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""125""},""Verde Musgo"":{""name"":""Verde Musgo"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Verde-Musgo.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""126""},""Vermelho"":{""name"":""Vermelho"",""color"":"""",""image"":""https:\/\/useyoulabel.com\/wp-content\/uploads\/2020\/09\/Vermelho.jpg"",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""127""}}},""Tamanho"":{""name"":""Tamanho"",""type"":""button"",""terms"":{""Adulto"":{""name"":""Adulto"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Infantil"":{""name"":""Infantil"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Cor,"Amarelo, Azul Bondi, Azul Claro, Azul Marinho, Azul Oxford, Azul Royal, Bege, Bordô, Branco, Branco/Pink, Chumbo, Cinza, Laranja, Lilás, Marrom, Preto, Rosa Bebê, Rosa Claro, Rosa Pink, Rosa Salmão, Roxo, Verde Água, Verde Bandeira, Verde Claro, Verde Musgo, Vermelho",1,1,Amarelo,Tamanho,"Adulto, Infantil",1,1,Adulto,,
128,variation,6332157,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Amarelo, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,https://useyoulabel.com/wp-content/uploads/2020/09/1amarelo.jpg,,,1187203,,,,,,1,,Cor,Amarelo,,1,,Tamanho,Adulto,,1,,,
129,variation,6332156,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Amarelo, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,https://useyoulabel.com/wp-content/uploads/2020/09/1amarelo.jpg,,,1187203,,,,,,2,,Cor,Amarelo,,1,,Tamanho,Infantil,,1,,,
130,variation,6332169,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Azul Bondi, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,https://useyoulabel.com/wp-content/uploads/2020/09/4azull.jpg,,,1187203,,,,,,3,,Cor,"Azul Bondi",,1,,Tamanho,Adulto,,1,,,
131,variation,6332168,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Azul Bondi, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,https://useyoulabel.com/wp-content/uploads/2020/09/4azull.jpg,,,1187203,,,,,,4,,Cor,"Azul Bondi",,1,,Tamanho,Infantil,,1,,,
132,variation,6332161,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Azul Claro, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,https://useyoulabel.com/wp-content/uploads/2020/09/3azul-claro.jpg,,,1187203,,,,,,5,,Cor,"Azul Claro",,1,,Tamanho,Adulto,,1,,,
133,variation,6332160,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Azul Claro, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,https://useyoulabel.com/wp-content/uploads/2020/09/3azul-claro.jpg,,,1187203,,,,,,6,,Cor,"Azul Claro",,1,,Tamanho,Infantil,,1,,,
134,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Azul Marinho, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,7,,Cor,"Azul Marinho",,1,,Tamanho,Adulto,,1,,,
135,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Azul Marinho, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,8,,Cor,"Azul Marinho",,1,,Tamanho,Infantil,,1,,,
136,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Azul Oxford, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,9,,Cor,"Azul Oxford",,1,,Tamanho,Adulto,,1,,,
137,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Azul Oxford, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,10,,Cor,"Azul Oxford",,1,,Tamanho,Infantil,,1,,,
138,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Azul Royal, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,11,,Cor,"Azul Royal",,1,,Tamanho,Adulto,,1,,,
139,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Azul Royal, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,12,,Cor,"Azul Royal",,1,,Tamanho,Infantil,,1,,,
140,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Bege, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,13,,Cor,Bege,,1,,Tamanho,Adulto,,1,,,
141,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Bege, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,14,,Cor,Bege,,1,,Tamanho,Infantil,,1,,,
142,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Bordô, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,15,,Cor,Bordô,,1,,Tamanho,Adulto,,1,,,
143,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Bordô, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,16,,Cor,Bordô,,1,,Tamanho,Infantil,,1,,,
144,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Branco, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,17,,Cor,Branco,,1,,Tamanho,Adulto,,1,,,
145,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Branco, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,18,,Cor,Branco,,1,,Tamanho,Infantil,,1,,,
146,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Branco/Pink, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,19,,Cor,Branco/Pink,,1,,Tamanho,Adulto,,1,,,
147,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Branco/Pink, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,20,,Cor,Branco/Pink,,1,,Tamanho,Infantil,,1,,,
148,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Chumbo, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,21,,Cor,Chumbo,,1,,Tamanho,Adulto,,1,,,
149,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Chumbo, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,22,,Cor,Chumbo,,1,,Tamanho,Infantil,,1,,,
150,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Cinza, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,23,,Cor,Cinza,,1,,Tamanho,Adulto,,1,,,
151,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Cinza, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,24,,Cor,Cinza,,1,,Tamanho,Infantil,,1,,,
152,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Laranja, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,25,,Cor,Laranja,,1,,Tamanho,Adulto,,1,,,
153,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Laranja, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,26,,Cor,Laranja,,1,,Tamanho,Infantil,,1,,,
154,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Lilás, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,27,,Cor,Lilás,,1,,Tamanho,Adulto,,1,,,
155,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Lilás, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,28,,Cor,Lilás,,1,,Tamanho,Infantil,,1,,,
156,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Marrom, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,29,,Cor,Marrom,,1,,Tamanho,Adulto,,1,,,
157,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Marrom, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,30,,Cor,Marrom,,1,,Tamanho,Infantil,,1,,,
158,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Preto, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,31,,Cor,Preto,,1,,Tamanho,Adulto,,1,,,
159,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Preto, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,32,,Cor,Preto,,1,,Tamanho,Infantil,,1,,,
160,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Rosa Bebê, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,33,,Cor,"Rosa Bebê",,1,,Tamanho,Adulto,,1,,,
161,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Rosa Bebê, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,34,,Cor,"Rosa Bebê",,1,,Tamanho,Infantil,,1,,,
162,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Rosa Claro, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,35,,Cor,"Rosa Claro",,1,,Tamanho,Adulto,,1,,,
163,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Rosa Claro, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,36,,Cor,"Rosa Claro",,1,,Tamanho,Infantil,,1,,,
164,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Rosa Pink, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,37,,Cor,"Rosa Pink",,1,,Tamanho,Adulto,,1,,,
165,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Rosa Pink, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,38,,Cor,"Rosa Pink",,1,,Tamanho,Infantil,,1,,,
166,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Rosa Salmão, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,39,,Cor,"Rosa Salmão",,1,,Tamanho,Adulto,,1,,,
167,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Rosa Salmão, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,40,,Cor,"Rosa Salmão",,1,,Tamanho,Infantil,,1,,,
168,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Roxo, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,41,,Cor,Roxo,,1,,Tamanho,Adulto,,1,,,
169,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Roxo, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,42,,Cor,Roxo,,1,,Tamanho,Infantil,,1,,,
170,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Verde Água, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,43,,Cor,"Verde Água",,1,,Tamanho,Adulto,,1,,,
171,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Verde Água, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,44,,Cor,"Verde Água",,1,,Tamanho,Infantil,,1,,,
172,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Verde Bandeira, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,45,,Cor,"Verde Bandeira",,1,,Tamanho,Adulto,,1,,,
173,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Verde Bandeira, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,46,,Cor,"Verde Bandeira",,1,,Tamanho,Infantil,,1,,,
174,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Verde Claro, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,47,,Cor,"Verde Claro",,1,,Tamanho,Adulto,,1,,,
175,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Verde Claro, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,48,,Cor,"Verde Claro",,1,,Tamanho,Infantil,,1,,,
176,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Verde Musgo, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,49,,Cor,"Verde Musgo",,1,,Tamanho,Adulto,,1,,,
177,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Verde Musgo, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,50,,Cor,"Verde Musgo",,1,,Tamanho,Infantil,,1,,,
